section,symbol_type,symbol,size_bytes,vma,runtime_region,lma,load_region
.data,OBJECT,_impure_ptr,4,0x200011B0,?,0x000165CC,?
.text,FUNC,l2capSendCmd,138,0x00008744,?,0x00008744,?
.text,FUNC,linkDB_MTU,22,0x00008AE6,?,0x00008AE6,?
.text,FUNC,__sflush_r,286,0x00013FF0,?,0x00013FF0,?
.text,FUNC,tmos_memory_init,96,0x0000270A,?,0x0000270A,?
.text,FUNC,_fwalk_sglue,94,0x00014266,?,0x00014266,?
.text,FUNC,ATT_ParseFindByTypeValueReq,102,0x00003C66,?,0x00003C66,?
.text,FUNC,GATTServApp_ProcessCCCWriteReq,84,0x00006088,?,0x00006088,?
.bss,OBJECT,gapRole_profileRole,1,0x200013CF,?,-,-
.text,FUNC,ATT_ParseExchangeMTUReq,22,0x00003BC6,?,0x00003BC6,?
.text,FUNC,smSendFailAndEnd,54,0x0000908E,?,0x0000908E,?
.text,FUNC,gapFindADType,100,0x00004116,?,0x00004116,?
.bss,OBJECT,g_dataCollectPayload,16,0x20001444,?,-,-
.bss,OBJECT,Freq_LSI,4,0x20001268,?,-,-
.text,FUNC,API_LE_RandCmd,32,0x0000F524,?,0x0000F524,?
.text,FUNC,ATT_ParseExecuteWriteReq,16,0x00003F36,?,0x00003F36,?
.data,OBJECT,clientCharCfgUUID,2,0x2000120C,?,0x00016628,?
.text,FUNC,RFEND_RXAdc,54,0x0000E7CE,?,0x0000E7CE,?
.text,FUNC,CH57x_BLEInit,322,0x00001386,?,0x00001386,?
.text,FUNC,HOST_EncryptionKeyRefreshCompleteEvent,66,0x0000ADC2,?,0x0000ADC2,?
.text,FUNC,l2capStopTimer,26,0x00008016,?,0x00008016,?
.text,FUNC,GATT_UpdateMTU,64,0x00005BC6,?,0x00005BC6,?
.text,FUNC,LL_AdvertiseEventRegister,6,0x0000B6FA,?,0x0000B6FA,?
.text,FUNC,l2capProcessRxData,218,0x000083B6,?,0x000083B6,?
.text,FUNC,LL_Rand,52,0x0000F8DC,?,0x0000F8DC,?
.text,FUNC,smpResponderProcessIncoming,1026,0x0000A05E,?,0x0000A05E,?
.text,FUNC,L2CAP_ParseParamUpdateReq,54,0x00008214,?,0x00008214,?
.text,FUNC,SM_VerifyAuthenSig,306,0x000097C8,?,0x000097C8,?
.bss,OBJECT,gapRole_TaskID,1,0x200013D4,?,-,-
.text,FUNC,GATTServApp_ProcessEvent,740,0x00007C4E,?,0x00007C4E,?
